Egypt,,Agrariou,,342,AD 342,351,AD 351,;
Bulgaria,,Agrianes,in the upper valley of the river Strymon (Struma) (11828),-236,BC 236,-235,BC 235,;
Egypt,,Agrippiane Ousia,in the territory of 00b Euhemeria (Qasr el-Banat) (675),54,AD 54,343,AD 343,;
Egypt,,Aiakideus,in L00 Alexandria (100),-238,BC 238,-30,BC 30,;
Egypt,,Aieelotias,,-299,BC 299,-200,BC 200,;
Turkey,Aegae,Aigai,near Phokaia (1792),-285,BC 285,37,AD 37,"38.9,27.3166667;"
Turkey,Aegae - Aegaeae - Aegeae - Aregea,Aigai,,-199,BC 199,640,AD 640,"36.769676,35.789487;"
Greece,,Aigai,near Aigeira (37594),0,AD 0,0,AD 0,"38.154879,22.314637;"
Greece,Aegina,Aigina,in the Aegean Sea,-386,BC 386,387,AD 387,"37.759551,23.5346345;"
Greece,Agion,Aigion,,-225,BC 225,450,AD 450,"38.252707,22.081952;"
Egypt,,Ailieus,in U15 Antinoopolis (2774),146,AD 146,217,AD 217,;
Greece,,Ainis,,-399,BC 399,-30,BC 30,;
Turkey,Aenos,Ainos,,-239,BC 239,450,AD 450,"40.7248985,26.085729;"
Turkey,Aeolis,Aeolis,,-350,BC 350,-300,BC 300,;
Egypt,,Aithiopon Chorion,,500,AD 500,799,AD 799,;
ghost name,,Ak[ ],,0,AD 0,0,AD 0,;
Egypt,,Ak.. Topos,in the territory of 00a Karanis (Kom Aushim) (1008)?,104,AD 104,104,AD 104,;
Egypt,,Akanthion,in 00d Krokodilopolis (Medinet el-Fayum) (327),276,AD 276,291,AD 291,;
Egypt,,Akanthonos Chorion,,48,AD 48,799,AD 799,;
Egypt,,Akanthoto[ ],,100,AD 100,199,AD 199,;
Egypt,,[..]abono( ) Chorion,,600,AD 600,699,AD 699,;
ghost name,,Akaula( ),,0,AD 0,0,AD 0,;
ghost name,,Aket( ),,0,AD 0,0,AD 0,;
Egypt,,Akkation,near 00c Tebtynis (2287),100,AD 100,199,AD 199,;
Egypt,,Akousilaou Kleros [Tebtynis],in the territory of 00c Tebtynis (2287),33,AD 33,33,AD 33,;
Turkey,,Alabanda,,-201,BC 201,-100,BC 100,"37.5944752,27.9841577;"
Egypt,,Alabanthis,near 00a Tamais (2238),-299,BC 299,799,AD 799,;
