Fragment.line,FoodType,FoodSpecific,Location,pleiades_uri,lon,lat,latlon
7.2,shellfish,scallops,Mytilene,http://pleiades.stoa.org/places/550763,26.547048,39.110475,"39.110475, 26.547048"
29.3,fish,saupe,Mytilene,http://pleiades.stoa.org/places/550763,26.547048,39.110475,"39.110475, 26.547048"
21.1,fish,glaukos ,Olynthos,http://pleiades.stoa.org/places/491678,23.354208,40.296525,"40.296525, 23.354208"
7.2,shellfish,bear-crabs,Parium,http://pleiades.stoa.org/places/511354,27.069096,40.420499,"40.420499, 27.069096"
31.1,fish,chromis,Pella,http://pleiades.stoa.org/places/491687,22.518485,40.754555,"40.754555, 22.518485"
41.3,fish,swordfish,Pelorus,http://pleiades.stoa.org/places/462416,15.65,38.2666667,"38.2666667, 15.65"
10.2,fish,eels,Rhegion,http://pleiades.stoa.org/places/452416,15.64393,38.109279,"38.109279, 15.64393"
11.5,fish,small-fry,Rhodos,http://pleiades.stoa.org/places/590030,28.227611,36.443113,"36.443113, 28.227611"
22.1,fish,thresher-shark,Rhodos,http://pleiades.stoa.org/places/590030,28.227611,36.443113,"36.443113, 28.227611"
35.1,fish,tuna,Samos,http://pleiades.stoa.org/places/599926,26.84,37.73,"37.73, 26.84"
13.3,fish,gilthead,Selinous fl.,http://pleiades.stoa.org/places/599931,27,37.5,"37.5, 27"
38.1,fish,tuna,Sicilia,http://pleiades.stoa.org/places/462492,15.0784713,36.8359248,"36.8359248, 15.0784713"
19.1,fish,conger eel,Sicyon,http://pleiades.stoa.org/places/570668,22.722718,37.980475,"37.980475, 22.722718"
44,fish,gray mullet,Sinope,http://pleiades.stoa.org/places/857321,35.143037,42.025776,"42.025776, 35.143037"
18.2,fish,dentex,Siculum fretum,http://pleiades.stoa.org/places/462494,15.5,38,"38, 15.5"
52.1,fish,latos,Siculum fretum,http://pleiades.stoa.org/places/462494,15.5,38,"38, 15.5"
10.4,fish,eels,Strymon fl.,http://pleiades.stoa.org/places/501629,23.848889,40.785833,"40.785833, 23.848889"
12.1,fish,elops,Syracusae,http://pleiades.stoa.org/places/462503,15.292995,37.063921,"37.063921, 15.292995"
22.3,fish,thresher-shark,Syracusae,http://pleiades.stoa.org/places/462503,15.292995,37.063921,"37.063921, 15.292995"
42.2,fish,red mullet,Teichioussa,http://pleiades.stoa.org/places/599957,27.457993,37.353179,"37.353179, 27.457993"
5.9,grain,barley groats,Thasos,http://pleiades.stoa.org/places/501634,24.703702,40.777626,"40.777626, 24.703702"
30.1,fish,bullhead,Thasos,http://pleiades.stoa.org/places/501634,24.703702,40.777626,"40.777626, 24.703702"
42.4,fish,red mullet,Thasos,http://pleiades.stoa.org/places/501634,24.703702,40.777626,"40.777626, 24.703702"
54.1,invertebrates,octopus,Thasos,http://pleiades.stoa.org/places/501634,24.703702,40.777626,"40.777626, 24.703702"
59.15,wine,old wine,Thasos ins.,http://pleiades.stoa.org/places/501635,24.65,40.683333,"40.683333, 24.65"
5.8,grain,barley groats,Thebes,http://pleiades.stoa.org/places/541138,23.317799,38.319076,"38.319076, 23.317799"
5.12,grain,barley bread,Thessalia,http://pleiades.stoa.org/places/1332,22.2,39.6,"39.6, 22.2"
24.1,fish,saw-tooth shark,Torone,http://pleiades.stoa.org/places/501646,23.908089,39.976277,"39.976277, 23.908089"
